T_model,func_rho,func_cp,func_k
-2.828828828828828534e+01,1.068199480046190502e+03,2.867932990080636500e+03,1.077524015083527686e+00
-2.822322322322322208e+01,1.068207698698824970e+03,2.872207799801029523e+03,1.077482377447076534e+00
-2.815815815815815881e+01,1.068216004424576795e+03,2.876512277157817607e+03,1.077439315206695003e+00
-2.809309309309309199e+01,1.068224397833731246e+03,2.880846697316193058e+03,1.077394821392244850e+00
-2.802802802802802518e+01,1.068232879542281808e+03,2.885211338638931466e+03,1.077348888958366002e+00
-2.796296296296296191e+01,1.068241450172000214e+03,2.889606482731087908e+03,1.077301510783616356e+00
-2.789789789789789864e+01,1.068250110350503064e+03,2.894032414485423033e+03,1.077252679669612023e+00
-2.783283283283283183e+01,1.068258860711318903e+03,2.898489422128558545e+03,1.077202388340149142e+00
-2.776776776776776501e+01,1.068267701893961885e+03,2.902977797267918504e+03,1.077150629440314589e+00
-2.770270270270270174e+01,1.068276634543998853e+03,2.907497834939418226e+03,1.077097395535590696e+00
-2.763763763763763848e+01,1.068285659313124142e+03,2.912049833655955808e+03,1.077042679110937096e+00
-2.757257257257257166e+01,1.068294776859230069e+03,2.916634095456692194e+03,1.076986472569868347e+00
-2.750750750750750484e+01,1.068303987846481277e+03,2.921250925957163872e+03,1.076928768233515799e+00
-2.744244244244244157e+01,1.068313292945392050e+03,2.925900634400211402e+03,1.076869558339676569e+00
-2.737737737737737831e+01,1.068322692832899520e+03,2.930583533707773313e+03,1.076808835041850099e+00
-2.731231231231231149e+01,1.068332188192440981e+03,2.935299940533528115e+03,1.076746590408260484e+00
-2.724724724724724467e+01,1.068341779714034146e+03,2.940050175316430341e+03,1.076682816420865496e+00
-2.718218218218218141e+01,1.068351468094354232e+03,2.944834562335140163e+03,1.076617504974355599e+00
-2.711711711711711814e+01,1.068361254036817172e+03,2.949653429763363420e+03,1.076550647875128330e+00
-2.705205205205205132e+01,1.068371138251657612e+03,2.954507109726128874e+03,1.076482236840262674e+00
-2.698698698698698450e+01,1.068381121456015080e+03,2.959395938357025898e+03,1.076412263496467903e+00
-2.692192192192192124e+01,1.068391204374016297e+03,2.964320255856387575e+03,1.076340719379024202e+00
-2.685685685685685797e+01,1.068401387736862944e+03,2.969280406550489715e+03,1.076267595930705534e+00
-2.679179179179179116e+01,1.068411672282912150e+03,2.974276738951730295e+03,1.076192884500683178e+00
-2.672672672672672434e+01,1.068422058757773584e+03,2.979309605819863009e+03,1.076116576343427056e+00
-2.666166166166166107e+01,1.068432547914389033e+03,2.984379364224256733e+03,1.076038662617576636e+00
-2.659659659659659781e+01,1.068443140513131311e+03,2.989486375607232731e+03,1.075959134384804283e+00
-2.653153153153153099e+01,1.068453837321889296e+03,2.994631005848484165e+03,1.075877982608657524e+00
-2.646646646646646417e+01,1.068464639116165245e+03,2.999813625330612012e+03,1.075795198153392196e+00
-2.640140140140140090e+01,1.068475546679167564e+03,3.005034609005795573e+03,1.075710771782782293e+00
-2.633633633633633764e+01,1.068486560801908809e+03,3.010294336463602576e+03,1.075624694158913153e+00
-2.627127127127127082e+01,1.068497682283298900e+03,3.015593191999989358e+03,1.075536955840962650e+00
-2.620620620620620400e+01,1.068508911930248814e+03,3.020931564687502487e+03,1.075447547283955307e+00
-2.614114114114114074e+01,1.068520250557768350e+03,3.026309848446694559e+03,1.075356458837514628e+00
-2.607607607607607747e+01,1.068531698989069582e+03,3.031728442118799649e+03,1.075263680744575900e+00
-2.601101101101101065e+01,1.068543258055666001e+03,3.037187749539674314e+03,1.075169203140099894e+00
